epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4465.32,0.80869,0.41049,1.03409,0.97742,0.96924,0.99024,0.79274,0.7737,0.29986,0.99503,0.006535,0.006535,0.006535
44,4568.51,0.80408,0.40876,1.03472,0.97835,0.96593,0.99075,0.79402,0.76791,0.30201,0.99596,0.0064525,0.0064525,0.0064525
45,4672.09,0.80547,0.40698,1.03492,0.97912,0.96743,0.99132,0.79883,0.77352,0.30553,0.99511,0.00637,0.00637,0.00637
46,4775.33,0.80748,0.41149,1.03898,0.96963,0.9715,0.99047,0.79364,0.77939,0.30499,1.00819,0.0062875,0.0062875,0.0062875
47,4878.19,0.80238,0.4074,1.03639,0.9769,0.97201,0.99048,0.79085,0.77126,0.30048,1.00126,0.006205,0.006205,0.006205
48,4981.72,0.79287,0.3991,1.02693,0.97241,0.9771,0.99167,0.79741,0.77467,0.29696,0.99737,0.0061225,0.0061225,0.0061225
49,5085.28,0.7993,0.40515,1.04076,0.97305,0.97371,0.99144,0.79704,0.77311,0.30055,1.00565,0.00604,0.00604,0.00604
50,5187.99,0.80126,0.40372,1.03157,0.97266,0.97455,0.99145,0.79677,0.77166,0.29831,0.99183,0.0059575,0.0059575,0.0059575
51,5291.21,0.79338,0.40357,1.03392,0.98393,0.96583,0.9916,0.79749,0.77111,0.29764,0.99876,0.005875,0.005875,0.005875
52,5394.4,0.79404,0.39722,1.03287,0.98082,0.97048,0.99056,0.79676,0.76725,0.2955,0.99661,0.0057925,0.0057925,0.0057925
53,5498.15,0.7877,0.39191,1.03241,0.98142,0.96786,0.99027,0.79891,0.76872,0.29465,0.99861,0.00571,0.00571,0.00571
54,5601.65,0.78511,0.39178,1.02388,0.97444,0.96997,0.99017,0.79791,0.77,0.29429,0.99635,0.0056275,0.0056275,0.0056275
55,5705.39,0.78541,0.39181,1.03103,0.97114,0.97624,0.99107,0.79953,0.76548,0.29372,0.998,0.005545,0.005545,0.005545
56,5809.43,0.78827,0.39362,1.02711,0.98151,0.96692,0.99123,0.79939,0.76535,0.2916,0.99279,0.0054625,0.0054625,0.0054625
57,5912.19,0.78385,0.39235,1.0288,0.97952,0.97048,0.98988,0.80174,0.76288,0.28695,0.99562,0.00538,0.00538,0.00538
58,6015.7,0.78164,0.39359,1.03017,0.98045,0.96969,0.99,0.80123,0.76498,0.28866,1.00088,0.0052975,0.0052975,0.0052975
59,6119.39,0.78141,0.38857,1.03169,0.98195,0.96997,0.99104,0.79943,0.76725,0.29013,1.0003,0.005215,0.005215,0.005215
60,6222.1,0.78,0.38853,1.02466,0.97458,0.97541,0.9918,0.80019,0.76516,0.28791,0.99871,0.0051325,0.0051325,0.0051325
61,6325.18,0.78702,0.39215,1.03016,0.97894,0.96845,0.99054,0.79963,0.76557,0.2891,1.0006,0.00505,0.00505,0.00505
62,6428.65,0.7754,0.38185,1.02067,0.97508,0.97575,0.99168,0.80245,0.76667,0.28744,0.99836,0.0049675,0.0049675,0.0049675
