epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4212.15,0.79507,0.41266,1.13404,0.96387,0.97713,0.99092,0.80973,0.74501,0.35862,1.11801,0.001307,0.001307,0.001307
44,4310.36,0.7979,0.40987,1.13566,0.97188,0.97276,0.99103,0.81601,0.74619,0.36279,1.12415,0.0012905,0.0012905,0.0012905
45,4407.58,0.79665,0.41136,1.13416,0.9745,0.96922,0.99196,0.81575,0.74898,0.35508,1.12205,0.001274,0.001274,0.001274
46,4504.95,0.79309,0.41321,1.13489,0.96967,0.97977,0.99244,0.81573,0.74973,0.35955,1.12499,0.0012575,0.0012575,0.0012575
47,4602.93,0.78678,0.40486,1.13259,0.96912,0.97274,0.9897,0.81556,0.73681,0.34545,1.12053,0.001241,0.001241,0.001241
48,4700.11,0.79343,0.40734,1.13611,0.97284,0.97664,0.99181,0.81763,0.73823,0.34952,1.12374,0.0012245,0.0012245,0.0012245
49,4797.64,0.78637,0.40422,1.13455,0.97282,0.97582,0.98977,0.81096,0.75502,0.35539,1.13028,0.001208,0.001208,0.001208
50,4895,0.77558,0.40188,1.11763,0.97011,0.97045,0.99161,0.82245,0.74268,0.34445,1.11187,0.0011915,0.0011915,0.0011915
51,4992.39,0.78229,0.39959,1.12959,0.97272,0.97219,0.99047,0.82177,0.73656,0.33661,1.13151,0.001175,0.001175,0.001175
52,5090.11,0.77408,0.39197,1.12509,0.96002,0.97801,0.98883,0.8189,0.74336,0.35737,1.12825,0.0011585,0.0011585,0.0011585
53,5186.85,0.78672,0.39351,1.13135,0.96781,0.97851,0.99145,0.81674,0.74137,0.3428,1.12416,0.001142,0.001142,0.001142
54,5284.76,0.77353,0.38828,1.1271,0.97201,0.97625,0.99075,0.82346,0.73856,0.34666,1.13315,0.0011255,0.0011255,0.0011255
55,5382.13,0.77901,0.39245,1.12597,0.97309,0.97801,0.99018,0.81785,0.75399,0.34507,1.13606,0.001109,0.001109,0.001109
56,5479.26,0.77045,0.38774,1.12324,0.97452,0.97537,0.99216,0.81642,0.73525,0.34284,1.12255,0.0010925,0.0010925,0.0010925
57,5576.49,0.76803,0.3861,1.12075,0.97027,0.97605,0.99197,0.81939,0.73528,0.33696,1.11492,0.001076,0.001076,0.001076
58,5673.95,0.77236,0.3871,1.12763,0.9654,0.98158,0.99231,0.82404,0.73369,0.33293,1.12303,0.0010595,0.0010595,0.0010595
59,5771.65,0.76185,0.37977,1.10794,0.97545,0.97832,0.99263,0.81949,0.72487,0.32962,1.10896,0.001043,0.001043,0.001043
60,5868.61,0.76761,0.38433,1.12262,0.97577,0.97713,0.99145,0.82708,0.72776,0.33397,1.11749,0.0010265,0.0010265,0.0010265
61,5966.4,0.76595,0.38892,1.12418,0.97023,0.97452,0.99178,0.82243,0.74193,0.3352,1.11631,0.00101,0.00101,0.00101
62,6064.26,0.76086,0.3787,1.10744,0.97025,0.97526,0.99217,0.8303,0.72119,0.31628,1.10281,0.0009935,0.0009935,0.0009935
63,6161.41,0.75655,0.37955,1.10815,0.97256,0.97625,0.99268,0.82388,0.72366,0.32773,1.1068,0.000977,0.000977,0.000977
64,6258.74,0.75639,0.37938,1.10936,0.96962,0.97449,0.99227,0.82399,0.71975,0.32501,1.09903,0.0009605,0.0009605,0.0009605
65,6356.35,0.76215,0.38649,1.10744,0.97087,0.98153,0.99251,0.82384,0.72923,0.32775,1.09389,0.000944,0.000944,0.000944
66,6453.39,0.76013,0.37927,1.09965,0.9761,0.97537,0.99242,0.82174,0.72692,0.32616,1.09154,0.0009275,0.0009275,0.0009275
67,6550.82,0.74892,0.37695,1.09219,0.97703,0.97281,0.99237,0.81877,0.72489,0.33459,1.09693,0.000911,0.000911,0.000911
68,6648.2,0.75832,0.37467,1.09714,0.96447,0.97887,0.99235,0.82458,0.72393,0.32658,1.1048,0.0008945,0.0008945,0.0008945
69,6746.02,0.74877,0.37259,1.09698,0.97593,0.96834,0.99239,0.82525,0.72578,0.32581,1.09949,0.000878,0.000878,0.000878
70,6843.46,0.75049,0.36948,1.09551,0.97101,0.98153,0.99284,0.82484,0.71338,0.32246,1.08677,0.0008615,0.0008615,0.0008615
71,6940.66,0.74963,0.36592,1.09662,0.9632,0.98153,0.9923,0.82291,0.71557,0.32744,1.09542,0.000845,0.000845,0.000845
72,7038.25,0.73971,0.36097,1.09064,0.96543,0.98243,0.99202,0.83031,0.71152,0.32025,1.08561,0.0008285,0.0008285,0.0008285
73,7135.85,0.73678,0.3612,1.08817,0.97453,0.97577,0.99042,0.82309,0.72347,0.32051,1.10061,0.000812,0.000812,0.000812
74,7233.32,0.7408,0.36252,1.09445,0.97287,0.9777,0.99198,0.82606,0.7206,0.31206,1.10283,0.0007955,0.0007955,0.0007955
75,7330.63,0.72836,0.3557,1.08729,0.97237,0.98065,0.99339,0.8315,0.714,0.30242,1.09843,0.000779,0.000779,0.000779
76,7428.7,0.74137,0.36078,1.09523,0.97351,0.97801,0.99278,0.83056,0.72056,0.31068,1.09745,0.0007625,0.0007625,0.0007625
77,7526.62,0.73126,0.35726,1.09455,0.96945,0.98065,0.99277,0.82739,0.72182,0.31469,1.10407,0.000746,0.000746,0.000746
78,7623.85,0.72887,0.35448,1.08563,0.96618,0.9799,0.99265,0.83294,0.71104,0.30595,1.09707,0.0007295,0.0007295,0.0007295
79,7721.29,0.72474,0.35184,1.08834,0.97844,0.97274,0.99294,0.83167,0.71951,0.30803,1.10019,0.000713,0.000713,0.000713
80,7819.01,0.72916,0.35541,1.09426,0.96783,0.98065,0.99211,0.82214,0.71537,0.30932,1.10122,0.0006965,0.0006965,0.0006965
81,7916.48,0.72848,0.35601,1.09428,0.96784,0.97924,0.99294,0.82817,0.7146,0.30728,1.1018,0.00068,0.00068,0.00068
82,8014.09,0.72193,0.34695,1.08787,0.98047,0.97119,0.99214,0.83032,0.71467,0.30629,1.10062,0.0006635,0.0006635,0.0006635
83,8111.47,0.71745,0.34444,1.08498,0.97449,0.97417,0.99282,0.83073,0.71711,0.30709,1.10471,0.000647,0.000647,0.000647
